Date,Hour,Condi,Temp,Sunsine,Dew,preci,Snow,wdirect,wspeed,Gust,Pressure,Humidity
2024-05-08,08,,31 °C,—,26.9 °C,0 mm,—,,4 km/h,—,1011 hPa,79 %
2024-05-08,09,,32 °C,—,27 °C,0 mm,—,,11 km/h,—,1011 hPa,75 %
2024-05-08,10,,34 °C,—,24 °C,0 mm,—,,11 km/h,—,1010 hPa,56 %
2024-05-08,11,,35 °C,—,22 °C,0 mm,—,,13 km/h,—,1010 hPa,47 %
2024-05-08,12,,36 °C,—,21.8 °C,0 mm,—,,11 km/h,—,1009 hPa,44 %
2024-05-08,13,,37 °C,—,22 °C,0 mm,—,,7 km/h,—,1008 hPa,42 %
2024-05-08,14,,37 °C,—,22 °C,0 mm,—,,7 km/h,—,1006 hPa,42 %
2024-05-08,15,,35 °C,—,23 °C,0 mm,—,,30 km/h,—,1006 hPa,50 %
2024-05-08,16,,35 °C,—,23 °C,0.4 mm,—,,13 km/h,—,1006 hPa,50 %
2024-05-08,17,,34 °C,—,25.1 °C,0 mm,—,,17 km/h,—,1006 hPa,60 %
2024-05-08,18,,30 °C,—,23 °C,0 mm,—,,4 km/h,—,1007 hPa,66 %
2024-05-08,19,,31 °C,—,25.1 °C,0 mm,—,,17 km/h,—,1008 hPa,71 %
2024-05-08,20,,31 °C,—,26 °C,0 mm,—,,15 km/h,—,1008 hPa,75 %
2024-05-08,21,,31 °C,—,26 °C,0 mm,—,,17 km/h,—,1009 hPa,75 %
2024-05-08,22,,31 °C,—,26 °C,0.1 mm,—,,20 km/h,—,1009 hPa,75 %
2024-05-08,23,,31 °C,—,26 °C,0 mm,—,,20 km/h,—,1009 hPa,75 %
2024-05-09,00,,30 °C,—,26 °C,0 mm,—,,15 km/h,—,1009 hPa,79 %
2024-05-09,01,,30 °C,—,26 °C,0 mm,—,,19 km/h,—,1009 hPa,79 %
2024-05-09,02,,30 °C,—,26 °C,0 mm,—,,13 km/h,—,1008 hPa,79 %
2024-05-09,03,,30 °C,—,26 °C,0 mm,—,,9 km/h,—,1008 hPa,79 %
2024-05-09,04,,30 °C,—,26 °C,0 mm,—,,19 km/h,—,1008 hPa,79 %
2024-05-09,05,,29 °C,—,26 °C,0 mm,—,,9 km/h,—,1009 hPa,84 %
2024-05-09,06,,30 °C,—,26 °C,0 mm,—,,11 km/h,—,1009 hPa,79 %
2024-05-09,07,,31 °C,—,26 °C,0 mm,—,,13 km/h,—,1010 hPa,75 %
2024-05-09,08,,33 °C,—,23.9 °C,0 mm,—,,17 km/h,—,1010 hPa,59 %
2024-05-09,09,,34 °C,—,23.1 °C,0 mm,—,,22 km/h,—,1010 hPa,53 %
2024-05-09,10,,34 °C,—,23.1 °C,0 mm,—,,9 km/h,—,1010 hPa,53 %
2024-05-09,11,,36 °C,—,21.8 °C,0.1 mm,—,,17 km/h,—,1010 hPa,44 %
2024-05-09,12,,37 °C,—,22 °C,0 mm,—,,13 km/h,—,1009 hPa,42 %
2024-05-09,13,,28 °C,—,25 °C,0.4 mm,—,,20 km/h,—,1008 hPa,84 %
2024-05-09,14,,30 °C,—,28 °C,0 mm,—,,9 km/h,—,1007 hPa,89 %
2024-05-09,15,,33 °C,—,26.1 °C,1.9 mm,—,,15 km/h,—,1006 hPa,67 %
2024-05-09,16,,33 °C,—,25 °C,0.1 mm,—,,20 km/h,—,1007 hPa,63 %
2024-05-09,17,,32 °C,—,25.1 °C,1.7 mm,—,,22 km/h,—,1007 hPa,67 %
2024-05-09,18,,31 °C,—,26 °C,0 mm,—,,15 km/h,—,1008 hPa,75 %
2024-05-09,19,,31 °C,—,26.9 °C,0 mm,—,,11 km/h,—,1009 hPa,79 %
2024-05-09,20,,31 °C,—,26 °C,0 mm,—,,17 km/h,—,1009 hPa,75 %
2024-05-09,21,,30 °C,—,26 °C,0 mm,—,,9 km/h,—,1010 hPa,79 %
2024-05-09,22,,30 °C,—,26 °C,0 mm,—,,13 km/h,—,1011 hPa,79 %
2024-05-09,23,,30 °C,—,27 °C,0 mm,—,,17 km/h,—,1011 hPa,84 %
2024-05-10,00,,30 °C,—,27 °C,0 mm,—,,17 km/h,—,1009 hPa,84 %
2024-05-10,01,,30 °C,—,27 °C,0 mm,—,,15 km/h,—,1009 hPa,84 %
2024-05-10,02,,29 °C,—,27 °C,0 mm,—,,9 km/h,—,1009 hPa,89 %
2024-05-10,03,,29 °C,—,27 °C,0 mm,—,,11 km/h,—,1009 hPa,89 %
2024-05-10,04,,28 °C,—,26.9 °C,0 mm,—,,7 km/h,—,1009 hPa,94 %
2024-05-10,05,,28 °C,—,26.9 °C,0 mm,—,,6 km/h,—,1009 hPa,94 %
2024-05-10,06,,29 °C,—,27 °C,0 mm,—,,4 km/h,—,1010 hPa,89 %
2024-05-10,07,,29 °C,—,27 °C,0 mm,—,,7 km/h,—,1010 hPa,89 %
